weigh_date,sample_id,mass,run_date ,person
20211201,449,2.53,20211220,HB
20211201,450,2.48,20211220,HB
20211201,451,2.5,20211220,HB
20211201,452,2.5,20211220,HB
20211201,453,2.47,20211220,HB
20211201,454,2.52,20211220,HB
20211201,455,2.51,20211220,HB
20211220,soil_std2,2.5,20211220,HB
20211220,soil_std3,2.5,20211220,HB
20211220,soil_std2,2.5,20211221,HB
20220317,SAA-SH1,2.5,20220318,SAA 2021
20220317,SAA-SH2,2.49,20220318,SAA 2021
20220317,SAA-SH3,2.5,20220318,SAA 2021
20220317,SAA-BM1,2.51,20220318,SAA 2021
20220317,SAA-BM2,2.48,20220318,SAA 2021
20220317,SAA-BM3,2.49,20220318,SAA 2021
20220317,SAA-CV1,2.55,20220318,SAA 2021
20220317,SAA-CV2,2.55,20220318,SAA 2021
20220317,SAA-CV3,2.5,20220318,SAA 2021
20220317,SAA-1M,2.54,20220318,SAA 2021
20220317,SAA-2M,2.55,20220318,SAA 2021
20220317,SAA-3M,2.49,20220318,SAA 2021
20220317,SAA-4M,2.54,20220318,SAA 2021
20220317,SAA-5M,2.53,20220318,SAA 2021
20220317,SAA-6M,2.52,20220318,SAA 2021
20220317,SAA-7M,2.53,20220318,SAA 2021
20220317,SAA-8M,2.51,20220318,SAA 2021
20220317,SAA-9M,2.55,20220318,SAA 2021
20220317,SAA-10M,2.52,20220318,SAA 2021
20220317,SAA-11M,2.55,20220318,SAA 2021
20220317,SAA-12M,2.51,20220318,SAA 2021
20220317,SAA-14M,2.53,20220318,SAA 2021
20220317,SAA-15M,2.5,20220318,SAA 2021
20220317,SAA-16M,2.54,20220318,SAA 2021
20220317,SAA-17M,2.53,20220318,SAA 2021
20220317,SAA-18M,2.51,20220318,SAA 2021
20220317,SAA-19M,2.52,20220318,SAA 2021
20220317,SAA-20M,2.55,20220318,SAA 2021
20220317,122,2.55,20220318,
20220317,193,2.47,20220318,
